video,frame_id,timestamp_sec,person_count,density_pct,density_change_rate,mean_motion_speed,max_motion_speed,direction_variance,flow_irregularity,heuristic_risk_score,heuristic_risk_level,ground_truth_risk_level,ground_truth_person_count
seq_01_normal_flow.mp4,0,0.0,18,23.6,0.0,0.0,0.0,0.0,0.0,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,1,0.05,18,23.7,0.0,1.0,1.77,0.023,2.2,12.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,2,0.1,18,23.7,0.0,0.97,1.72,0.06,5.3,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,3,0.15,18,23.7,0.0,0.94,1.56,0.051,4.8,13.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,4,0.2,18,23.8,0.0,0.98,1.56,0.026,2.2,13.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,5,0.25,18,23.8,0.0,0.93,1.44,0.065,5.3,13.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,6,0.3,18,23.8,0.0,0.89,1.56,0.084,7.7,13.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,7,0.35,18,23.9,0.0,0.87,1.17,0.011,1.0,13.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,8,0.4,18,23.9,0.0,0.93,1.47,0.053,5.0,13.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,9,0.45,18,24.0,0.0,0.97,1.54,0.03,3.1,13.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,10,0.5,18,24.0,0.33,0.93,1.81,0.068,5.8,13.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,11,0.55,18,24.0,0.32,1.01,1.84,0.053,4.8,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,12,0.6,18,24.2,0.44,0.9,1.5,0.087,7.6,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,13,0.65,18,24.2,0.42,0.91,1.56,0.063,5.6,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,14,0.7,18,24.2,0.41,0.91,1.53,0.065,5.5,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,15,0.75,18,24.2,0.42,0.92,1.44,0.068,5.8,13.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,16,0.8,18,24.3,0.35,0.95,1.49,0.042,3.7,13.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,17,0.85,19,24.7,0.82,0.98,1.49,0.052,5.1,14.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,18,0.9,19,24.9,0.89,0.89,1.42,0.065,5.7,14.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,19,0.95,19,24.9,0.84,0.91,1.37,0.024,2.4,14.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,20,1.0,19,24.9,0.86,0.85,1.24,0.012,1.0,14.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,21,1.05,19,24.9,0.7,0.93,1.21,0.098,8.7,14.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,22,1.1,19,25.0,0.83,0.92,1.52,0.053,4.5,14.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,23,1.15,19,25.0,0.8,0.9,1.4,0.029,2.6,14.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,24,1.2,19,25.0,0.76,0.91,1.44,0.061,5.5,14.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,25,1.25,19,25.1,0.81,0.93,1.56,0.066,5.5,14.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,26,1.3,18,23.9,-0.82,1.24,6.56,0.061,18.1,14.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,27,1.35,18,24.0,-0.88,1.01,1.74,0.019,1.8,14.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,28,1.4,18,24.0,-0.81,0.99,1.7,0.057,4.9,14.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,29,1.45,18,24.0,-0.86,0.96,1.53,0.065,5.7,13.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,30,1.5,17,24.0,-0.89,0.9,1.6,0.056,4.9,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,31,1.55,17,24.0,-1.01,0.96,1.55,0.047,4.2,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,32,1.6,17,24.0,-1.07,0.98,1.49,0.066,6.0,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,33,1.65,17,24.0,-0.99,0.88,1.57,0.069,5.9,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,34,1.7,18,24.0,-1.1,0.89,1.46,0.056,4.9,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,35,1.75,17,24.1,0.18,0.95,1.59,0.04,3.4,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,36,1.8,17,24.1,0.09,0.94,1.65,0.071,6.5,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,37,1.85,18,23.9,-0.1,0.93,1.61,0.065,6.2,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,38,1.9,18,23.9,-0.11,0.92,1.57,0.054,4.3,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,39,1.95,18,23.9,-0.1,1.0,1.58,0.049,4.9,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,40,2.0,18,23.9,-0.07,0.91,1.35,0.049,4.9,13.7,NORMAL,NORMAL,22
